Security Vendor,Category,Result,Method
Comodo Valkyrie Verdict,suspicious,suspicious,blacklist
PhishLabs,undetected,unrated,blacklist
0xSI_f33d,undetected,unrated,blacklist
Sophos,malicious,malware,blacklist
Cyan,undetected,unrated,blacklist
CRDF,malicious,malicious,blacklist
Fortinet,malicious,malware,blacklist
SafeToOpen,undetected,unrated,blacklist
AutoShun,undetected,unrated,blacklist
Avira,malicious,malware,blacklist
Lumu,undetected,unrated,blacklist
Netcraft,undetected,unrated,blacklist
G-Data,malicious,malware,blacklist
StopBadware,undetected,unrated,blacklist
NotMining,undetected,unrated,blacklist
ESET,malicious,malware,blacklist
